time,demo_network.H_2.obuf.Throughput-obuf
0.005240001,13.1232
0.005280001,13.5328
0.005320001,13.9408
0.005360001,14.7616
0.005400001,15.1712
0.005440001,14.352
0.005480001,12.712
0.005520001,13.5328
0.005560001,14.352
0.005600001,14.7616
0.005640001,15.1696
0.005680001,15.5808
0.005720001,13.5328
0.005760001,12.7136
0.005800001,13.9408
0.005840001,14.352
0.005880001,14.7616
0.005920001,15.5808
0.005960001,15.1712
0.006000001,13.5312
0.006040001,13.5328
0.006080001,14.352
0.006120001,14.7616
0.006160001,15.5792
0.006200001,15.9904
0.006240001,16.8096
0.006280001,13.9424
0.006320001,13.5312
0.006360001,13.9424
0.006400001,14.7616
0.006440001,15.1712
0.006480001,15.5792
0.006520001,16.4
0.006560001,16.8096
0.006600001,13.9424
0.006640001,13.5328
0.006680001,14.3504
0.006720001,14.7616
0.006760001,15.5808
0.006800001,15.9904
0.006840001,16.3984
0.006880001,13.9424
0.006920001,13.1232
0.006960001,13.5328
0.007000001,13.9408
0.007040001,14.7616
0.007080001,15.1712
0.007120001,15.9904
0.007160001,14.7616
0.007200001,13.1216
0.007240001,13.5328
0.007280001,14.352
0.007320001,14.7616
0.007360001,15.5792
0.007400001,15.9904
0.007440001,15.1712
0.007480001,13.1232
0.007520001,13.9408
0.007560001,14.352
0.007600001,15.1712
0.007640001,15.5808
0.007680001,15.9888
0.007720001,12.7136
0.007760001,12.304
0.007800001,13.1232
0.007840001,13.9408
0.007880001,14.352
0.007920001,14.7616
0.007960001,15.1712
0.008000001,12.7136
0.008040001,12.712
0.008080001,13.1232
0.008120001,13.9424
0.008160001,14.352
0.008200001,14.76
0.008240001,13.5328
0.008280001,12.7136
0.008320001,13.5328
0.008360001,13.5328
0.008400001,14.3504
0.008440001,15.1712
0.008480001,14.7616
0.008520001,12.7136
0.008560001,13.1216
0.008600001,13.9424
0.008640001,14.352
0.008680001,15.1712
0.008720001,15.5792
0.008760001,13.9424
0.008800001,13.9424
0.008840001,14.7616
0.008880001,15.1696
0.008920001,15.9904
0.008960001,16.8096
0.009000001,14.7616
0.009040001,13.1232
0.009080001,13.9408
0.009120001,14.352
0.009160001,15.1712
0.009200001,15.5808
0.009240001,15.9888
0.009280001,17.2192
0.009320001,14.7616
0.009360001,13.1232
0.009400001,14.3504
0.009440001,14.7616
0.009480001,15.1712
0.009520001,15.9904
0.009560001,15.9888
0.009600001,13.1232
0.009640001,12.7136
0.009680001,13.5328
0.009720001,13.9424
0.009760001,14.76
0.009800001,15.1712
0.009840001,15.5808
0.009880001,13.9424
0.009920001,12.712
0.009960001,13.1232
0.010000001,13.5328
0.010040001,14.352
0.010080001,12.712
0.010120001,12.304
0.010160001,9.0272
0.010200001,4.9312
0.010240001,4.1104
0.010280001,4.9296
0.010320001,4.52
0.010360001,4.5216
0.010400001,4.9312
0.010440001,4.1104
0.010480001,4.5216
0.010520001,4.5216
0.010560001,4.5216
