time,demo_victim_network.S_1.port[0].vlarb.StaticFreeCreditsNum in vla
0.186716193,0
0.1867178314,0
0.1867194698,0
0.1867211082,0
0.1867227466,0
0.186724385,0
0.1867260234,0
0.1867276618,0
0.1867293002,0
0.1867309386,0
0.186732577,0
0.186758001,16
0.186758683666,14
0.186759366332,12
0.186760048998,10
0.186760731664,8
0.18676141433,6
0.186762096996,4
0.186762779662,2
0.186763462328,0
0.1867645546,0
0.186766193,0
0.1867678314,0
0.1867694698,0
0.1867711082,0
0.1867727466,0
0.186774385,0
0.1867760234,0
0.1867776618,0
0.1867793002,0
0.1867809386,0
0.186782577,0
0.1867842154,0
0.186808001,15
0.186808683666,13
0.186809366332,11
0.186810048998,9
0.186810731664,7
0.18681141433,5
0.186812096996,3
0.186812779662,1
0.186858342333,14
0.186859024999,12
0.186859707665,10
0.186860390331,8
0.186861072997,6
0.186861755663,4
0.186862438329,2
0.186863120995,0
0.1868645546,0
0.186866193,0
0.1868678314,0
0.1868694698,0
0.1868711082,0
0.1868727466,0
0.186874385,0
0.1868760234,0
0.1868776618,0
0.1868793002,0
0.1868809386,0
0.186882577,0
0.186908001,15
0.186908683666,13
0.186909366332,11
0.186910048998,9
0.186910731664,7
0.18691141433,5
0.186912096996,3
0.186912779662,1
0.186958342333,15
0.186959024999,13
0.186959707665,11
0.186960390331,9
0.186961072997,7
0.186961755663,5
0.186962438329,3
0.186963120995,1
0.187008342333,14
0.187009024999,12
0.187009707665,10
0.187010390331,8
0.187011072997,6
0.187011755663,4
0.187012438329,2
0.187013120995,0
0.1870145546,0
0.187016193,0
0.1870178314,0
0.1870194698,0
0.1870211082,0
0.1870227466,0
0.187024385,0
0.1870260234,0
0.1870276618,0
0.1870293002,0
0.1870309386,0
0.187032577,0
0.187058001,15
0.187058683666,13
0.187059366332,11
0.187060048998,9
0.187060731664,7
0.18706141433,5
0.187062096996,3
0.187062779662,1
0.187108342333,15
0.187109024999,13
0.187109707665,11
0.187110390331,9
0.187111072997,7
0.187111755663,5
0.187112438329,3
0.187113120995,1
0.187158342333,14
0.187159024999,12
0.187159707665,10
0.187160390331,8
0.187161072997,6
0.187161755663,4
0.187162438329,2
0.187163120995,0
0.1871645546,0
0.187166193,0
0.1871678314,0
0.1871694698,0
0.1871711082,0
0.1871727466,0
0.187174385,0
0.1871760234,0
0.1871776618,0
0.1871793002,0
0.1871809386,0
0.187182577,0
0.187208001,15
0.187208683666,13
0.187209366332,11
0.187210048998,9
0.187210731664,7
0.18721141433,5
0.187212096996,3
0.187212779662,1
0.187258342333,14
0.187259024999,12
0.187259707665,10
0.187260390331,8
0.187261072997,6
0.187261755663,4
0.187262438329,2
0.187263120995,0
0.1872645546,0
0.187266193,0
0.1872678314,0
0.1872694698,0
0.1872711082,0
0.1872727466,0
0.187274385,0
0.1872760234,0
0.1872776618,0
0.1872793002,0
0.1872809386,0
0.187282577,0
0.187308001,16
0.187308683666,14
0.187309366332,12
0.187310048998,10
0.187310731664,8
0.18731141433,6
0.187312096996,4
0.187312779662,2
0.187313462328,0
0.1873145546,0
0.187316193,0
0.1873178314,0
0.1873194698,0
0.1873211082,0
0.1873227466,0
0.187324385,0
