time,demo_victim_network.H_2.gen.Throughput
0.0272,1.6384e+009
0.0274,1.6384e+009
0.0276,1.72032e+009
0.0278,1.6384e+009
0.028,1.6384e+009
0.0282,1.72032e+009
0.0284,1.6384e+009
0.0286,1.6384e+009
0.0288,1.72032e+009
0.029,1.6384e+009
0.0292,1.6384e+009
0.0294,1.72032e+009
0.0296,1.6384e+009
0.0298,1.6384e+009
0.03,1.72032e+009
0.0302,1.6384e+009
0.0304,1.6384e+009
0.0306,1.72032e+009
0.0308,1.6384e+009
0.031,1.72032e+009
0.0312,1.6384e+009
0.0314,1.6384e+009
0.0316,1.72032e+009
0.0318,1.6384e+009
0.032,1.6384e+009
0.0322,1.72032e+009
0.0324,1.6384e+009
0.0326,1.6384e+009
0.0328,1.72032e+009
0.033,1.6384e+009
0.0332,1.6384e+009
0.0334,1.72032e+009
0.0336,1.6384e+009
0.0338,1.6384e+009
0.034,1.72032e+009
0.0342,1.6384e+009
0.0344,1.6384e+009
0.0346,1.72032e+009
0.0348,1.6384e+009
0.035,1.6384e+009
0.0352,1.72032e+009
0.0354,1.6384e+009
0.0356,1.6384e+009
0.0358,1.72032e+009
0.036,1.6384e+009
0.0362,1.6384e+009
0.0364,1.72032e+009
0.0366,1.6384e+009
0.0368,1.6384e+009
0.037,1.72032e+009
0.0372,1.6384e+009
0.0374,1.6384e+009
0.0376,1.72032e+009
0.0378,1.6384e+009
0.038,1.6384e+009
0.0382,1.72032e+009
0.0384,1.6384e+009
0.0386,1.72032e+009
0.0388,1.6384e+009
0.039,1.6384e+009
0.0392,1.72032e+009
0.0394,1.6384e+009
0.0396,1.6384e+009
0.0398,1.72032e+009
0.04,1.6384e+009
0.0402,1.6384e+009
0.0404,1.72032e+009
0.0406,1.6384e+009
0.0408,1.6384e+009
0.041,1.72032e+009
0.0412,1.6384e+009
0.0414,1.6384e+009
0.0416,1.72032e+009
0.0418,1.6384e+009
0.042,1.6384e+009
0.0422,1.72032e+009
0.0424,1.6384e+009
0.0426,1.6384e+009
0.0428,1.72032e+009
0.043,1.6384e+009
0.0432,1.6384e+009
0.0434,1.72032e+009
0.0436,1.6384e+009
0.0438,1.6384e+009
0.044,1.72032e+009
0.0442,1.6384e+009
0.0444,1.6384e+009
0.0446,1.72032e+009
0.0448,1.6384e+009
0.045,1.6384e+009
0.0452,1.72032e+009
0.0454,1.6384e+009
0.0456,1.72032e+009
0.0458,1.6384e+009
0.046,1.6384e+009
0.0462,1.72032e+009
0.0464,1.6384e+009
0.0466,1.6384e+009
0.0468,1.72032e+009
0.047,1.6384e+009
0.0472,1.6384e+009
0.0474,1.72032e+009
0.0476,1.6384e+009
0.0478,1.6384e+009
0.048,1.72032e+009
0.0482,1.6384e+009
0.0484,1.6384e+009
0.0486,1.72032e+009
0.0488,1.6384e+009
0.049,1.6384e+009
0.0492,1.72032e+009
0.0494,1.6384e+009
0.0496,1.6384e+009
0.0498,1.72032e+009
0.05,1.6384e+009
0.0502,1.6384e+009
0.0504,1.72032e+009
0.0506,1.6384e+009
0.0508,1.6384e+009
0.051,1.72032e+009
0.0512,1.6384e+009
0.0514,1.6384e+009
